,domain,availability
0,.aero,"HTTPConnectionPool(host='www.example.aero', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C7E9E240>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
1,.بارت,"HTTPConnectionPool(host='www.example.xn--mgbbh1a', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C7FC92E8>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
2,.ga,True
3,.no,"HTTPConnectionPool(host='www.example.no', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C69F88D0>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond'))"
4,.institute,"HTTPConnectionPool(host='www.example.institute', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C7FC9898>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
5,.boutique,"HTTPConnectionPool(host='www.example.boutique', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C7FD1550>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
6,.passagens,"HTTPConnectionPool(host='www.example.passagens', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C7FD1C18>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
7,.fast,"HTTPConnectionPool(host='www.example.fast', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C7FE2320>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
8,.sz,"HTTPConnectionPool(host='www.example.sz', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C7FE29E8>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
9,.services,"HTTPConnectionPool(host='www.example.services', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C7FF20F0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
10,.fly,"HTTPConnectionPool(host='www.example.fly', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C7FF27B8>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
11,.ke,"HTTPConnectionPool(host='www.example.ke', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C7FF2E80>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
12,.security,"HTTPConnectionPool(host='www.example.security', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C8005588>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
13,.eat,"HTTPConnectionPool(host='www.example.eat', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C8005C50>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
14,.budapest,"HTTPConnectionPool(host='www.example.budapest', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C8013358>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
15,.rio,"HTTPConnectionPool(host='www.example.rio', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C8013A20>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
